timestamp,name,cpu_percent,memory_percent,status
2026-04-23 08:26:42,dwm.exe,0.0,0.62,running
2026-04-23 08:26:42,msedgewebview2.exe,0.0,0.67,running
2026-04-23 08:26:42,MemCompression,0.0,7.98,running
2026-04-23 08:26:42,Code.exe,0.0,0.71,running
2026-04-23 08:26:42,Code.exe,0.0,1.24,running
2026-04-23 08:26:43,MsMpEng.exe,0.0,1.56,running
2026-04-23 08:26:43,Code.exe,0.0,4.41,running
2026-04-23 08:26:43,Code.exe,0.0,0.58,running
2026-04-23 08:26:43,EpicWebHelper.exe,0.0,0.62,running
2026-04-23 08:26:43,Code.exe,0.0,0.73,running
2026-04-23 08:26:43,Code.exe,0.0,0.58,running
2026-04-23 08:26:43,CrossDeviceService.exe,0.0,0.65,running
2026-04-23 08:26:43,Code.exe,0.0,1.99,running
2026-04-23 08:26:43,msedgewebview2.exe,0.0,0.75,running
2026-04-23 08:26:43,explorer.exe,0.0,1.67,running
2026-04-23 08:26:43,ChatGPT.exe,0.0,0.72,running
2026-04-23 08:26:43,WidgetBoard.exe,0.0,0.58,running
2026-04-23 08:26:43,SearchHost.exe,0.0,0.73,running
2026-04-23 08:26:43,StartMenuExperienceHost.exe,0.0,0.81,running
2026-04-23 08:26:43,chrome.exe,0.0,1.71,running
2026-04-23 08:26:43,msedge.exe,0.0,0.91,running
2026-04-23 08:26:43,msedgewebview2.exe,0.0,0.88,running
2026-04-23 08:26:43,WhatsApp.Root.exe,0.0,1.32,running
2026-04-23 08:26:43,RiotClientServices.exe,0.0,0.56,running
2026-04-23 08:26:43,PhoneExperienceHost.exe,0.0,1.05,running
2026-04-23 08:26:43,ChatGPT.exe,0.0,0.56,running
2026-04-23 08:26:43,TextInputHost.exe,0.0,0.75,running
2026-04-23 08:26:43,chrome.exe,0.0,1.99,running
2026-04-23 08:26:43,chrome.exe,0.0,1.57,running
2026-04-23 08:26:43,chrome.exe,0.0,0.57,running
2026-04-23 08:26:43,chrome.exe,0.0,2.46,running
2026-04-23 08:26:43,chrome.exe,0.0,0.85,running
2026-04-23 08:26:43,chrome.exe,0.0,1.85,running
2026-04-23 08:26:43,chrome.exe,0.0,1.16,running
2026-04-23 08:26:43,chrome.exe,0.0,3.75,running
2026-04-23 08:26:43,msedgewebview2.exe,0.0,0.57,running
2026-04-23 08:26:43,ChatGPT.exe,0.0,0.8,running
2026-04-23 08:26:43,chrome.exe,0.0,2.05,running
2026-04-23 08:26:44,EpicGamesLauncher.exe,0.0,0.71,running
2026-04-23 08:26:44,Code.exe,0.0,0.59,running
2026-04-23 08:26:44,Code.exe,0.0,1.75,running
2026-04-23 08:48:31.373857,MemCompression,0.0,8.28,running
2026-04-23 08:48:31.490801,Code.exe,0.0,1.13,running
2026-04-23 08:48:31.723174,MsMpEng.exe,0.0,1.54,running
2026-04-23 08:48:31.761421,Code.exe,0.0,4.49,running
2026-04-23 08:48:31.965844,Code.exe,0.0,1.44,running
2026-04-23 08:48:32.146914,explorer.exe,0.0,1.65,running
2026-04-23 08:48:32.280993,chrome.exe,0.0,1.68,running
2026-04-23 08:48:32.347495,WhatsApp.Root.exe,0.0,1.3,running
2026-04-23 08:48:32.422938,PhoneExperienceHost.exe,0.0,1.04,running
2026-04-23 08:48:32.444174,chrome.exe,0.0,1.98,running
2026-04-23 08:48:32.454613,chrome.exe,0.0,1.48,running
2026-04-23 08:48:32.470948,chrome.exe,0.0,2.38,running
2026-04-23 08:48:32.481222,chrome.exe,0.0,1.81,running
2026-04-23 08:48:32.494567,chrome.exe,0.0,1.03,running
2026-04-23 08:48:32.504207,chrome.exe,0.0,4.7,running
2026-04-23 08:48:32.532687,chrome.exe,0.0,2.51,running
2026-04-23 08:48:32.659983,Code.exe,0.0,1.76,running
2026-04-23 15:49:50,msedgewebview2.exe,0.0,0.88,running
2026-04-23 15:49:51,dwm.exe,0.0,1.35,running
2026-04-23 15:49:51,MemCompression,0.0,1.09,running
2026-04-23 15:49:51,WhatsApp.Root.exe,0.0,1.55,running
2026-04-23 15:49:51,OfficeClickToRun.exe,0.0,0.62,running
2026-04-23 15:49:51,MsMpEng.exe,0.0,2.51,running
2026-04-23 15:49:51,mysqld.exe,0.0,1.22,running
