timestamp,cpu_percent,ram_used_percent,ram_available_gb,disk_used_percent,disk_free_gb,cpu_temp,battery_percent,plugged_in,health_score
2026-04-22 03:59:54,16.9,69.1,4.86,30.0,333.12,N/A,75,False,90
2026-04-22 04:00:59,28.3,71.5,4.49,30.0,333.12,N/A,74,False,90
2026-04-22 04:02:04,46.2,74.0,4.09,30.0,333.12,N/A,74,False,90
2026-04-22 04:03:10,20.9,72.1,4.39,30.0,333.12,N/A,73,False,90
2026-04-22 04:04:14,33.7,71.2,4.53,30.0,333.12,N/A,73,False,90
2026-04-22 20:10:19,15.0,80.5,3.06,30.0,333.23,N/A,51,False,90
2026-04-22 20:11:25,25.8,83.1,2.66,30.0,333.19,N/A,50,False,90
2026-04-22 20:12:30,22.5,82.6,2.74,30.0,333.19,N/A,50,False,90
2026-04-22 20:13:36,14.2,67.3,5.14,30.0,333.2,N/A,49,False,90
2026-04-22 21:22:45,14.7,77.3,3.57,29.8,333.94,N/A,17,False,90
2026-04-22 21:23:50,42.7,79.5,3.23,29.8,333.94,N/A,17,False,90
2026-04-22 21:24:55,27.0,79.5,3.23,29.8,333.94,N/A,16,False,90
2026-04-22 21:26:00,32.3,74.2,4.05,29.8,333.93,N/A,15,False,90
2026-04-22 21:27:04,19.2,73.1,4.23,29.8,333.93,N/A,15,False,90
2026-04-22 21:28:07,18.9,71.5,4.49,29.8,333.93,N/A,14,False,90
2026-04-22 21:29:12,15.5,72.7,4.29,29.8,333.92,N/A,14,False,90
2026-04-22 21:29:47,14.9,71.9,4.43,29.8,333.92,N/A,13,False,90
2026-04-22 21:30:52,13.6,71.6,4.46,29.8,333.92,N/A,13,False,90
2026-04-22 21:31:56,14.6,66.9,5.21,29.8,333.92,N/A,12,False,90
2026-04-22 21:33:00,25.0,67.1,5.17,29.8,333.92,N/A,12,False,90
2026-04-22 21:34:06,34.6,70.2,4.69,29.8,333.92,N/A,12,False,90
2026-04-22 21:35:10,14.4,69.9,4.74,29.8,333.92,N/A,11,False,90
2026-04-22 21:36:15,12.9,69.5,4.8,29.8,333.92,N/A,11,False,90
2026-04-22 21:37:20,21.7,69.8,4.75,29.8,333.92,N/A,10,False,90
2026-04-22 21:38:25,14.0,69.7,4.76,29.8,333.92,N/A,10,False,90
2026-04-22 21:39:29,18.0,69.5,4.8,29.8,333.92,N/A,9,False,90
2026-04-22 21:40:34,12.8,68.9,4.89,29.8,333.92,N/A,9,False,90
2026-04-22 21:41:38,14.0,68.1,5.02,29.8,333.92,N/A,9,False,90
2026-04-22 21:42:43,29.1,72.7,4.3,29.8,333.92,N/A,8,False,90
2026-04-22 21:43:49,22.1,70.6,4.63,29.8,333.91,N/A,9,True,90
2026-04-22 21:44:54,15.7,70.5,4.64,29.8,333.91,N/A,10,True,90
2026-04-22 21:45:59,14.0,69.8,4.75,29.8,333.91,N/A,11,True,90
2026-04-22 21:47:04,12.9,69.0,4.87,29.8,333.91,N/A,13,True,90
2026-04-22 21:48:09,12.9,68.6,4.93,29.8,333.91,N/A,14,True,90
2026-04-22 21:49:14,13.3,70.7,4.61,29.8,333.91,N/A,15,True,90
2026-04-22 21:50:20,12.8,68.5,4.96,29.8,333.9,N/A,17,True,90
2026-04-22 21:51:25,16.9,68.1,5.02,29.8,333.91,N/A,18,True,90
2026-04-22 21:52:30,14.1,66.2,5.32,29.8,333.91,N/A,19,True,90
2026-04-22 21:53:35,10.0,64.8,5.53,29.8,333.91,N/A,21,True,90
2026-04-22 21:54:40,25.0,65.5,5.42,29.7,334.37,N/A,22,True,90
2026-04-22 21:55:45,42.1,69.9,4.74,29.7,334.4,N/A,23,True,90
2026-04-22 21:56:51,17.1,71.3,4.51,29.7,334.39,N/A,24,True,90
2026-04-22 21:57:56,24.2,70.8,4.59,29.7,334.37,N/A,25,True,90
2026-04-22 21:59:01,19.1,70.3,4.67,29.7,334.36,N/A,27,True,90
2026-04-22 22:00:07,33.9,72.4,4.35,29.8,334.29,N/A,28,True,90
2026-04-22 22:01:12,23.0,71.0,4.57,29.7,334.31,N/A,29,True,90
2026-04-22 22:02:17,15.3,69.4,4.81,29.7,334.32,N/A,31,True,90
2026-04-22 22:03:22,27.1,71.5,4.48,29.7,334.32,N/A,32,True,90
2026-04-22 22:04:27,15.7,70.0,4.72,29.7,334.32,N/A,33,True,90
2026-04-22 22:05:32,13.2,70.1,4.71,29.7,334.32,N/A,34,True,90
2026-04-22 22:06:37,14.5,70.1,4.71,29.7,334.32,N/A,36,True,90
2026-04-22 22:07:42,16.6,68.4,4.98,29.7,334.32,N/A,37,True,90
2026-04-22 22:08:47,15.1,67.3,5.15,29.7,334.32,N/A,38,True,90
2026-04-22 22:09:52,15.9,67.5,5.12,29.7,334.32,N/A,40,True,90
2026-04-22 22:10:57,25.4,67.9,5.05,29.7,334.32,N/A,41,True,90
2026-04-22 22:12:02,16.3,67.3,5.15,29.7,334.32,N/A,42,True,90
2026-04-22 22:13:07,19.3,67.6,5.1,29.7,334.32,N/A,43,True,90
2026-04-22 22:14:12,14.2,66.9,5.2,29.7,334.32,N/A,45,True,90
2026-04-22 22:15:17,14.4,67.0,5.19,29.7,334.32,N/A,46,True,90
2026-04-22 22:16:22,14.2,67.0,5.2,29.7,334.31,N/A,47,True,90
2026-04-22 22:17:27,17.6,67.0,5.2,29.7,334.31,N/A,49,True,90
2026-04-22 22:18:33,16.7,69.2,4.84,29.7,334.32,N/A,50,True,90
2026-04-22 22:19:37,23.6,69.6,4.78,29.7,334.32,N/A,51,True,90
2026-04-22 22:20:42,15.9,68.6,4.93,29.7,334.32,N/A,52,True,90
2026-04-22 22:21:47,15.9,68.7,4.92,29.7,334.31,N/A,54,True,90
2026-04-22 22:22:52,14.8,68.8,4.9,29.7,334.31,N/A,55,True,90
2026-04-22 22:23:58,10.6,70.2,4.68,29.7,334.31,N/A,56,True,90
2026-04-22 22:25:03,11.4,68.8,4.91,29.7,334.31,N/A,57,True,90
2026-04-22 22:26:08,10.6,68.7,4.92,29.7,334.31,N/A,59,True,90
2026-04-22 22:27:13,19.4,71.3,4.52,29.8,334.29,N/A,60,True,90
2026-04-22 22:28:18,18.4,71.4,4.5,29.8,334.23,N/A,61,True,90
2026-04-22 22:29:23,31.3,74.6,3.99,29.8,334.19,N/A,62,True,90
